Airline,From,To,Price
IndiGo,Bengaluru,Chennai,"₹ 2,465"
IndiGo,Bengaluru,Chennai,"₹ 2,465"
Air India,Bengaluru,Chennai,"₹ 2,500"
Air India,Bengaluru,Chennai,"₹ 2,500"
IndiGo,Bengaluru,Chennai,"₹ 2,775"
IndiGo,Bengaluru,Chennai,"₹ 2,775"
IndiGo,Bengaluru,Chennai,"₹ 3,195"
IndiGo,Bengaluru,Chennai,"₹ 3,195"
IndiGo,Bengaluru,Chennai,"₹ 3,195"
IndiGo,Bengaluru,Chennai,"₹ 3,510"
IndiGo,Bengaluru,Chennai,"₹ 4,245"
